,O,B-PER,I-PER,B-ORG,I-ORG,B-LOC,I-LOC,B-AMIN,I-AMIN,B-BIO,I-BIO,B-CEL,I-CEL,B-DIS,I-DIS,B-EVE,I-EVE,B-FOOD,I-FOOD,B-INST,I-INST,B-MEDIA,I-MEDIA,B-PLANT,I-PLANT,B-MYTH,I-MYTH,B-TIME,I-TIME,B-VEHI,I-VEHI
O,598242,56,22,102,254,264,412,838,498,2,0,16,6,358,208,16,28,274,110,2,2,44,46,4,0,652,340,54,34,0,0
B-PER,24,10440,8,26,0,14,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0
I-PER,12,12,11416,0,16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,134,30,2,6312,20,82,0,2,0,0,0,0,0,2,0,2,0,6,0,0,0,8,4,0,0,2,0,2,0,8,2
I-ORG,178,4,24,34,8840,6,56,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,2,0,2
B-LOC,258,24,0,106,24,23494,108,4,0,0,0,2,0,0,0,2,0,2,0,0,0,6,0,6,0,4,2,6,0,0,0
I-LOC,306,0,8,0,46,110,11448,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
B-AMIN,624,2,0,2,0,12,2,2406,30,0,0,0,0,8,0,0,0,8,2,0,0,4,0,8,0,98,0,0,0,2,0
I-AMIN,348,0,4,0,0,2,4,14,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,66,0,0,0,2
B-BIO,8,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
I-BIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-CEL,12,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-CEL,10,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-DIS,296,0,0,0,0,4,0,2,0,0,0,0,0,1170,44,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
I-DIS,250,0,0,0,0,0,0,0,2,0,0,0,0,26,722,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
B-EVE,16,0,0,14,0,2,0,0,0,0,0,0,0,0,0,662,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0
I-EVE,22,0,0,0,16,2,0,0,0,0,0,0,0,0,0,6,1156,0,0,0,0,0,10,0,0,0,0,0,4,0,0
B-FOOD,398,2,0,8,0,10,0,26,0,0,0,0,0,0,0,0,0,606,12,0,0,0,2,0,0,66,0,2,0,0,0
I-FOOD,144,0,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,4,204,0,0,0,0,0,0,0,4,0,2,0,0
B-INST,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,2,0
I-INST,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,4
B-MEDIA,24,2,0,10,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,864,0,0,0,0,0,0,0,0,0
I-MEDIA,32,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,2,1476,0,0,0,0,0,0,0,0
B-PLANT,0,10,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
I-PLANT,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0
B-MYTH,348,2,0,0,0,6,0,40,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,1366,4,0,0,0,0
I-MYTH,266,0,0,0,0,0,2,0,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,474,0,0,0,2
B-TIME,98,8,0,2,0,8,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,4,0,0,0,0,0,444,6,0,0
I-TIME,54,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,4,336,0,0
B-VEHI,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,50,0
I-VEHI,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,50
